FORMULA,Al,Co,Fe,Ni,Si,Cr,Mn,Ti,Cu,Mo,Nb,V,Zr,Sn,Ta,Hf,W,Zn,Re,Mg,Pd,YM
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6666666666667,0.0,16.6666666666667,16.6666666666667,0.0,16.6666666666667,0.0,16.6666666666667,16.6666666666667,0.0,0.0,0.0,0.0,0,137
Hf1 Mo1 Ta1 Ti1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0,143
Hf1 Mo1 Nb1 Ti1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0,128
Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5093773443361,0.0,0.0,12.4906226556639,0.0,25.0187546886722,0.0,12.4906226556639,12.4906226556639,0.0,0.0,0.0,0.0,0,103
Hf1 Nb1 Ti1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0,89
Mo1 Nb1 Ta1 V1 W1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0,229
Mo0.3 Nb1 Ti1 V1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2558139534884,0.0,6.97674418604651,23.2558139534884,23.2558139534884,23.2558139534884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,114
Mo0.5 Nb1 Ti1 V1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2222222222222,0.0,11.1111111111111,22.2222222222222,22.2222222222222,22.2222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,122
Mo0.7 Nb1 Ti1 V1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2765957446808,0.0,14.8936170212766,21.2765957446808,21.2765957446808,21.2765957446808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,130
Mo1 Nb0.667 Ti0.667 V0.667 Zr0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1842966194111,0.0,27.2628135223555,18.1842966194111,18.1842966194111,18.1842966194111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,156
Mo1 Nb0.588 Ti0.588 V0.588 Zr0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5417661097852,0.0,29.8329355608592,17.5417661097852,17.5417661097852,17.5417661097852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,161
Mo1 Nb0.5 Ti0.5 V0.5 Zr0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6666666666667,0.0,33.3333333333333,16.6666666666667,16.6666666666667,16.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,169
Mo1 Nb1 Ti1 V1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,141
Mo0.1 Nb1 Ti1 V0.3 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4117647058824,0.0,2.94117647058824,29.4117647058824,8.82352941176471,29.4117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,102
Mo0.3 Nb1 Ti1 V0.3 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7777777777778,0.0,8.33333333333333,27.7777777777778,8.33333333333333,27.7777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,112
Mo0.5 Nb1 Ti1 V0.3 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3157894736842,0.0,13.1578947368421,26.3157894736842,7.89473684210526,26.3157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,122
Mo0.7 Nb1 Ti1 V0.3 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,17.5,25.0,7.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,130
Mo1 Nb0.769 Ti0.769 V0.231 Zr0.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7354437535331,0.0,28.2645562464669,21.7354437535331,6.52911249293386,21.7354437535331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,153
Mo1 Nb0.667 Ti0.667 V0.2 Zr0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8372383630116,0.0,31.2402374258044,20.8372383630116,6.24804748516089,20.8372383630116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,159
Nb1 Ti1 V0.3 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3030303030303,0.0,0.0,30.3030303030303,9.09090909090909,30.3030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96
Mo1 Nb1 Ti1 V0.5 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2222222222222,0.0,22.2222222222222,22.2222222222222,11.1111111111111,22.2222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,142
Mo1 Nb1 Ti1 V0.75 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0526315789474,0.0,21.0526315789474,21.0526315789474,15.7894736842105,21.0526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,141
Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1842966194111,0.0,18.1842966194111,18.1842966194111,27.2628135223555,18.1842966194111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,140
Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6666666666667,0.0,16.6666666666667,16.6666666666667,33.3333333333333,16.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,139
Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2795883361921,0.0,14.2795883361921,14.2795883361921,42.8816466552316,14.2795883361921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,138
Mo1 Nb1 Ti1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,143
Co1 Fe1 Ni1 V1,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,184
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,3.03030303030303,12.1212121212121,12.1212121212121,12.1212121212121,0.0,12.1212121212121,12.1212121212121,12.1212121212121,12.1212121212121,0.0,0.0,12.1212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,174
Cu1 Mn1 Ni1 Zn0.333,0.0,0.0,0.0,30.00300030003,0.0,0.0,30.00300030003,0.0,30.00300030003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99099909990999,0.0,0.0,0,167
Cu1 Mn1 Ni1 Zn0.25,0.0,0.0,0.0,30.7692307692308,0.0,0.0,30.7692307692308,0.0,30.7692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69230769230769,0.0,0.0,0,169
Al0.053 Cu1 Mn1 Ni1,1.7359973796266,0.0,0.0,32.7546675401245,0.0,0.0,32.7546675401245,0.0,32.7546675401245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,173
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,28.5714285714286,14.2857142857143,14.2857142857143,14.2857142857143,0.0,14.2857142857143,0.0,0.0,14.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,156
Al1 Cr1 Mo1 Ti1,25.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,189
Al1 Mo1 Nb1 Ti1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,151
Co1 Cr1 Mo1 Nb1 Ti0.4,0.0,22.7272727272727,0.0,0.0,0.0,22.7272727272727,0.0,9.09090909090909,0.0,22.7272727272727,22.7272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,212
Hf1 Nb1 Ti1 V1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0,95
Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7627535341119,0.0,0.0,30.7314074984634,0.0,12.7842655193608,0.0,30.7314074984634,7.99016594960049,0.0,0.0,0.0,0.0,0,122
Hf1 Mo0.5 Nb1 Ti1 V0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,12.5,25.0,12.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0,126
Hf0.787 Nb0.142 Ta0.142 Ti1 Zr0.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9895031490553,0.0,0.0,4.96850944716585,0.0,27.5367389783065,0.0,4.96850944716585,27.5367389783065,0.0,0.0,0.0,0.0,0,92
Al0.2 Mo1 Ta1 Ti1 V1,4.76190476190476,0.0,0.0,0.0,0.0,0.0,0.0,23.8095238095238,0.0,23.8095238095238,0.0,23.8095238095238,0.0,0.0,23.8095238095238,0.0,0.0,0.0,0.0,0.0,0,183
Al1 Mo1 Ta1 Ti1 V1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0,165
Mo1 Ta1 Ti1 V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0,189
Mo1 Nb1 Ta1 Ti0.25 W1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,23.5294117647059,23.5294117647059,0.0,0.0,0.0,23.5294117647059,0.0,23.5294117647059,0.0,0.0,0.0,0,242
Mo1 Nb1 Ta1 Ti0.5 W1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1111111111111,0.0,22.2222222222222,22.2222222222222,0.0,0.0,0.0,22.2222222222222,0.0,22.2222222222222,0.0,0.0,0.0,0,234
Mo1 Nb1 Ta1 Ti1 W1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0,222
Mo1 Nb1 Ta1 Ti1 V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0,171
Mo1 Nb1 Ta1 Ti1 V1 W1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6666666666667,0.0,16.6666666666667,16.6666666666667,16.6666666666667,0.0,0.0,16.6666666666667,0.0,16.6666666666667,0.0,0.0,0.0,0,209
Nb1 Ta1 Ti1 V1 W1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0,187
Nb1 Ta1 V1 W1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0,206
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,10.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,134
Al1 Cr0.5 Nb1 Ti1 V1,22.2222222222222,0.0,0.0,0.0,0.0,11.1111111111111,0.0,22.2222222222222,0.0,0.0,22.2222222222222,22.2222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,119
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,3.92941176470588,23.5294117647059,23.5294117647059,23.5294117647059,0.0,23.5294117647059,0.0,1.95294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,214
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,3.91588107324148,18.6366932559826,18.6366932559826,36.2581580855692,0.0,18.6366932559826,0.0,0.0,3.91588107324148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,209
Co1 Cr1 Fe1 Ni1 Ti0.2,0.0,23.8095238095238,23.8095238095238,23.8095238095238,0.0,23.8095238095238,0.0,4.76190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,218
Al0.1 Co1 Cr1 Fe1 Ni1,2.4390243902439,24.390243902439,24.390243902439,24.390243902439,0.0,24.390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
Al0.3 Co1 Cr1 Fe1 Ni1,6.97674418604651,23.2558139534884,23.2558139534884,23.2558139534884,0.0,23.2558139534884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,210
Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,0.0,19.8333994446648,19.8333994446648,19.8333994446648,0.0,19.8333994446648,19.8333994446648,0.0,0.0,0.833002776675922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,221
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,0.0,34.0136054421769,5.98639455782313,34.0136054421769,0.0,20.0,0.0,0.0,0.0,5.98639455782313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,231
Co0.5 Cr0.5 Fe1 Ni1,0.0,16.6666666666667,33.3333333333333,33.3333333333333,0.0,16.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,219
Co0.875 Cr0.625 Fe1 Ni1,0.0,25.0,28.5714285714286,28.5714285714286,0.0,17.8571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
Co1 Cr0.556 Fe0.667 Ni0.667,0.0,34.6020761245675,23.0795847750865,23.0795847750865,0.0,19.2387543252595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,222
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,0.0,20.6060606060606,19.4984326018809,20.8986415882968,0.0,19.8955067920585,19.1013584117032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
Mo1 Nb1 Ti1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3333333333333,0.0,33.3333333333333,33.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,177
Nb1 Ta0.3 Ti1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3030303030303,0.0,0.0,30.3030303030303,0.0,30.3030303030303,0.0,9.09090909090909,0.0,0.0,0.0,0.0,0.0,0,101
Nb1 Ti1 Zr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3333333333333,0.0,0.0,33.3333333333333,0.0,33.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,94
Co1 Cr0.25 Ni1,0.0,44.4444444444444,0.0,44.4444444444444,0.0,11.1111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,213
Co0.25 Cr1 Ni1,0.0,11.1111111111111,0.0,44.4444444444444,0.0,44.4444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,238
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,0.0,21.2765957446808,21.2765957446808,42.5531914893617,0.0,0.0,0.0,0.0,0.0,4.25531914893617,0.0,10.6382978723404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,202
Mo1 Nb1 Re0.5 W1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5714285714286,28.5714285714286,0.0,0.0,0.0,0.0,0.0,28.5714285714286,0.0,14.2857142857143,0.0,0,298
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,10.0071994240461,24.9820014398848,15.0107991360691,35.9971202303816,0.0,7.99136069114471,0.0,6.01151907847372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,185
